time,tas_ssp119,tas_ssp126,tas_ssp245,tas_ssp370,tas_ssp585
,,,,,
2015,2.85,2.7,2.62,2.99,2.73
2016,2.87,2.81,2.75,2.79,2.74
2017,2.96,2.62,2.82,2.28,2.65
2018,2.97,2.84,2.55,2.68,2.3
2019,2.7,2.88,2.61,2.91,2.88
2020,2.98,3,2.68,2.74,2.87
2021,2.99,3.11,2.89,2.9,2.55
2022,2.97,2.99,3.07,2.72,2.88
2023,3.04,2.93,3.23,2.62,2.94
2024,3.25,3.14,2.72,2.58,2.88
2025,2.81,3.11,2.98,2.36,3.05
2026,2.77,3.21,2.97,2.8,3.03
2027,3.06,3.02,3.09,3.13,3.06
2028,3.03,2.94,3.49,2.92,3.06
2029,2.96,2.83,3.2,3.13,3.31
2030,2.67,2.97,3.42,2.74,3.27
2031,3.19,3.27,3.49,2.84,3.2
2032,3.07,3.12,3.31,3.04,3.15
2033,2.98,2.92,3.34,3.22,3.15
2034,2.72,3.13,3.29,3.31,3.53
2035,3.14,3.16,3.43,3.12,3.35
2036,2.77,3.22,3.47,3.12,3.23
2037,3.23,3.23,3.45,3.17,3.57
2038,3.01,3.07,3.64,3.17,3.45
2039,2.74,3.44,3.67,3.54,3.58
2040,2.64,3.18,3.53,3.19,3.51
2041,3.05,3.54,3.46,3.87,3.41
2042,2.68,3.37,3.66,4.03,3.24
2043,3.3,3.44,3.2,3.6,3.49
2044,3.14,3.42,3.5,3.88,3.87
2045,3.36,3.42,3.66,3.9,3.6
2046,3.14,3.81,3.58,3.9,3.88
2047,3.28,4,3.47,3.45,4.28
2048,3.37,3.51,3.7,3.76,4.16
2049,3.18,3.62,3.93,3.89,4.06
2050,2.87,3.94,3.87,3.75,4.24
2051,2.93,3.81,3.76,3.77,4.26
2052,3.2,3.57,4,4.03,4.52
2053,2.99,3.42,3.59,3.96,4.29
2054,3.09,3.52,3.94,4.18,4.29
2055,3.12,3.57,3.76,4.19,4.64
2056,2.83,3.51,3.72,4.08,4.46
2057,3.39,3.53,4.1,4.19,4.6
2058,3.11,3.43,3.79,4.27,4.24
2059,3.24,3.78,3.99,4.28,4.63
2060,3.28,3.62,4.07,4.39,4.64
2061,3.26,3.78,3.88,4.21,4.57
2062,3.09,3.62,3.83,4.18,4.81
2063,3.22,3.78,3.73,4.32,4.88
2064,2.91,3.81,4.01,4.14,4.62
2065,2.88,3.75,3.96,4.37,4.68
2066,3.32,3.39,4.15,4.36,5.03
2067,2.92,3.65,3.91,4.6,5.08
2068,3.33,3.45,4.07,4.56,4.99
2069,2.35,3.63,4.19,4.74,5.26
2070,2.9,3.59,4.05,4.74,5.09
2071,2.44,3.72,4.2,4.62,5.34
2072,3.17,3.99,4.51,4.82,5.3
2073,2.89,3.9,4.45,4.77,5.21
2074,2.66,3.95,4.32,4.74,5.6
2075,3.17,3.83,4.25,4.97,5.62
2076,2.91,3.8,4.43,4.8,5.48
2077,3.05,3.86,4.17,4.99,5.38
2078,3.35,3.83,4.71,4.74,5.45
2079,3,3.78,4.42,5.04,5.36
2080,3.01,3.74,4.46,4.96,5.48
2081,3.22,3.86,4.5,4.81,5.49
2082,3.48,3.8,4.8,4.81,5.81
2083,3.06,3.87,4.36,4.78,5.44
2084,3.02,3.99,4.66,4.99,5.62
2085,3.08,3.85,4.81,5.14,6.06
2086,2.83,3.77,4.61,5.28,5.69
2087,3.14,3.64,4.34,5.27,5.58
2088,2.88,4.04,4.65,5.36,5.59
2089,2.92,3.88,4.68,5.2,5.98
2090,3.19,3.81,4.85,5.13,6.01
2091,3.23,3.86,4.8,5.46,6.12
2092,3.37,3.78,4.6,5.88,6.04
2093,3.3,3.67,4.78,5.55,6.16
2094,3.55,3.6,4.93,5.6,6.44
2095,3.25,3.5,4.31,5.8,6.47
2096,3.43,3.8,4.85,5.63,6.4
2097,2.9,3.73,4.82,5.54,6.67
2098,2.75,3.85,4.85,6.01,6.28
2099,2.66,3.78,5.18,5.92,6.68
2100,3.26,3.82,4.92,5.88,6.96